Received from:,Description of problem,Requires further investigation to resolve?,Sent staff to room?
OI 8180,"guest presenter, asking if they can use the wifi",0,0
PB B250,no image,0,0
MS 2173,students who can't login,0,0
RW 110,"""how do i get the light on the board""",0,0
BA 2195,she can't get image up.,0,1
,"tried both hdmi inputs, setting laptop to duplicate, confirmed that room pc sends to big screen properly",0,0
SF 1105,batteries,0,0
MR 6,tm e crash,0,0
MR 6 ,tm e crash,0,0
SK 548,kyle asking for a login,0,0
OI 8200,no sound works. video won't play on my device,0,1
SF 3201,didn't know how to get an image,0,1
MY 317,"having trouble connecting, getting an image up. no xpanel for this room, so it's difficult to troubleshoot",1,1
PB B250,batteries for mouse,0,1
UC 85,trying to connect her to computer,0,1
MY 350,ican adapter in room not working. prof has his own,1,0
LM 161,"""can you log me in""",0,0
SS 2127,no image from ipad,0,1
AP 120,keyboard on tech2u pc not working,0,0
OI 8180,"""she went back to the faculty of social work to try to get help with her computer""",0,0
SS 2118,already solved,0,0
OI 8180,"""this room is way too hot, can you send a fan""",0,0
UC 261,"no image, projector is on, tried unplugging & replugging, no dice",0,1
GB 244,microphone cabinet door won't lock,1,1
MY 420,asking about how to start occs recording,0,0
MS 2173,"`""there's no image coming up""",0,0
SS 1086,ca is there and is trying to restart station,0,0
MP 102,"""someone is already here trying to help""",0,0
BR 200,"needs help connecting ""document projector""",0,0
CR 403,"""can you turn the projector on please?""",0,0
SK 222,can't get it on,0,1
SK 114,same problem here^^^^,0,1
SK 346,can't get it on,0,0
UC 261,already solved,0,0
MY 420,"""there's no option to record occs""",0,0
CR 103,"power outage, needs re-enable",0,0
OI 5290,already solved,0,0
SK 222,asking to have it turned back on,0,0
OI 4418,no image,0,0
OI 4418,"""displays different""",0,0
OI 4418,image dropped,1,1
BA 2175,"""sorry, this was a mis-call""",0,0
MY 430,"""sorry, i mispressed the button""",0,0
HS 715,re-enable,0,0
NF 003,says wireless keyboard is not working,0,1
PB B250,logged off and logged back in and couldn't get an image on second monitor,1,0
,"""i'm wondering if there's a keyboard""",0,0
MP 134,already solved,0,0
OI 8201,"""i need help getting my video up""",0,0
OI 8200,wanted to book a dvd player for next class,0,0
SS 1073,pc not displaying,0,1
BL 205,phone call. downloaded occs stream and it failed. apparently it's not saved to the cloud. was calling to see if there was anyone they could contact,0,0
PB B250,"""the second monitor isn't working""",0,1
,"""the second monitor"" in pb b250 is not working. they're adamant about having a technician come",0,0
,"a lot of noise and i can't hear them. they're asking about 'are you sending a rover(???) here?""",0,0
,someone is helping them but i think it's a student,0,0
,they had an issue with the microphone but they solved it,0,0
LM 155,no image. ,0,1
AH 100,"projector isn't coming on, even when he sends to the projector. i can see on his touchscreen that the teaching station isn't recognizing it as coming on, either",0,1
,i'm wondering if maybe it's related to the power outage earlier 🤔,0,0
SS 2117,false larm,0,0
BA 2145,he got admin 12345678,0,0
BA 2145,can't get ipad image up,1,1
PB B250,"""the problem resolved""",0,0
RL 14190,she can't get image up,0,1
BA 1130,no answer,0,0
GB 221,student login,0,0
SS 1083,"""it was working, but then i unplugged it for a second, and now there's no image""",0,0
MS 2172,trying to have two wireless + one podium mics running simultaneously,0,1
BA 2175,"""there's a weird microsoft thing on my screen""",0,0
BA 2159,"""i didn't mean to push this button""",0,0
NF 003,enable,0,0
SS 581,room locked (phone call from 647-858-1259),0,0
BA 2159,"""the station in't coming on the way it did last week""",0,0
BA 1190,w/less mic missing,0,0
BA 2145,can you log us in? they were able to log in themselves. having trouble getting their image up,0,0
SF 1105,batteries needed,0,1
WI 523,wrong slide on projected screen,0,0
BA 1240,enable,0,0
SS 1088,"class all done, ready for equipment pick up",0,0
SS 1070,no audio ,0,0
ES B149,ca testing intercom mic,0,0
SK 720,no power at teaching station,0,0
SK 720,no power at teaching station,1,1
MS 2158,resolved,0,0
MB 128,"""error running ui""",0,1
MS 2158,getting a black screen from desktop pc,0,0
UC 152,no image,0,0
CR 404,already solved,0,0
ES B142,no audio ,0,0
HS 614,couldn't find hdmi cable,0,0
SS 1086,no image on screen,0,0
HS 790,no image ,0,0
SS 1084,"no image ,screen is up",0,0
BA 2135,network connection failed,0,0
LM 155,resolved,0,0
WW 119,trying to send to all displays,0,0
SK 346,projector image turned off,0,0
ES B149,ca testing podium,0,0
SS 1072,"said he needed projector on, couldn't get image, said that something is wrong, said another class was coming in shut projector off then left. ",1,0
BT 101,needs new mic batteries,0,1
MY 360B,log in request,0,0
OI 2198,projector screen not showing image,0,0
SF 2202,no image,0,0
MR 6,tm e crash,0,0
UC A101,couldn't enter utor id on touch screen,0,0
SF 2202,image disappeared,0,0
UC A101,the student displays aren't showing hdmi,0,1
SF 3202,batteries,0,0
WB 219,connect laptop,1,0
PB B250,no image,1,1
AH 100,podium mic not working.,1,1
UC 140,"desktop only mirroring, won't go to extended, even though set that was on device",1,1
WB 119,resolved,0,0
GB 304,already solved,0,0
ES 4000,system not responding,0,0
HS 106,log in request,0,0
HS 705,projector not on,0,0
HS 705,trying to get sound output onto room speakers (right now it's laptop-only). on a mac.,0,0
PB B250,"instructor is following up re: 12:07 call today. says no one ever spoke with him - he would have been fine with having his lecture interrupted if they  would have been able to fix the problem. he wants to make certain that someone is going to come look at  it, so this doesn't happen again.",1,0
HS 106,mic not working,0,0
HS 610,batteries,0,1
BA B026,"first time using av, wondering how you do it",0,0
UC A101,displays weren't showing powerpoint,0,0
WO 25,seeing the windows desktop on the projection screen.,0,0
GB 119,tone sound audible in room,0,1
OI 4418,image not coming up.,0,0
OI 4410,instructor and students can't access wi-fi.,0,1
RW 143,wanted to know how to get desktop pc to screen,0,0
SK 720,"no audio. image is projecting fine. when switching to laptop speakers, audio is fine.  when selecting hdmi output for audio, there is no sound",0,1
OI 2212,already solved,0,0
MR 6,tm e crash,0,0
BA 2165,utorid login keeps getting declined (ta),0,0
OI 8180,no image,0,0
SK 702,usb-c dongle.,0,1
MY 350,desktop pc no longer showing up on the preview or displays.,0,1
SS 2120,image dropped,1,1
OI 2214,instructor and students can't connect to wi-fi.,0,0
HS 614,no image ,0,0
UC A101,no audio from laptop,0,0
WI 1017,no sound from mic on podium,0,0
WI 524,projector not turning on,0,1
BA 1200,having trouble unlocking mic cabinet,0,0
OI 2214,resolved,0,0
SS 2106,hdmi image is flickering,0,1
MY 320,no image,0,0
SS 1088,unable to connect to projector,0,0
UC 244,"no image, would like help so someone can show him what the fix is as all of his other rooms ""just work""",0,0
HS 715,no image on screen,0,0
MR 6,tm e crash,0,0
OI 2214,wifi issues in room. wants to book another room.,0,0
SF 1105,"""i want a special connector for my laptop.""",0,0
SS 581,could you please turn on the tv,0,0
BR 200,no audio through room speakers; none of the mics work,0,1
SK 100,station has no power,0,0
BL 312,teaching dock screen won't turn on,0,1
OI 2205,tech2u pc not arrived yet,0,0
BF 323,login,0,0
GB 248,usb-c adapter broken,0,0
BA 1210,resolved,0,0
BA 2179,needs help with the tv screen. no image.  no power.,0, 
GB 304,needed a walkthrough w/ts,0,0
MY 330,login,0,0
BA 2135,didn't know how to use system,0,0
OI 4422,only two screens are working (teal room),0,1
MY 317,no image,0,0
MR 6,system crash,0,0
SS 2102,video; no video when playing sound off of power point/youtube etc.,0,1
MP 102,can't find w/l mic,0,0
HS 106,asking why her login might not work,0,0
SS 1085,"logged off, projector not turning off",1,1
BL 312,macbook projector help,0,1
BA 1240,how do you turn off the projector? ,0,0
SS 1085,projector issue,0,0
BA 1220,ta testing to see how intercom works,0,0
SK 702,projection help using ipad,0,1
SS 2118,couldn't hear themselves using wireless mic,0,0
WB 130,room pc not projecting to all screens,0,0
WB 219,very angry about the monitors activity. suggesting that if we wanted to keep them longer to turn them off when not in use but essentially for today wanted them turned off,0,0
SS 2106,no image,1,1
BA 2165,log in request,0,0
UC 52,figured it out,0,0
BL 312,already solved,0,0
BA 2175,log in request,0,0
SK 702,letting us know the cord lent to them can be picked up also wants to know what we can do in the future about their set up because they are using that room bi-weekly,0,0
BA 2185,projector not showing,0,1
BA 2165,overnight,0,0
BA 1210,overnight,0,0
LM 162,overnight,0,0
OI 2295,image not showing up on,0,0
OI 5290,tv not turning on,0,1
OI 8201,"""i'm good, thanks""",0,0
MY 380,"""audio not sending to tvs""",0,0
NF 003,wanted to know how to lower projector screen,0,0
LM 162,new batteries plz,0,1
MR 6,headset input very low.,0,0
UC 244,ipad image all good.,0,0
BA 2175,room pc not sending to projector,0,0
NF 003,where is the projection screen controls.,0,0
BA 1160,self-resolved.,0,0
WO 30,hdmi 1 not sending to projector,0,0
BA 1170,needs batts,0,1
UC A101,can't hear ta on zoom and ta can't hear them.,1,1
SS 1088,"has an image, but no audio.",0,0
UC 65,wants to plug in usb to tdm but has no laptop,0,1
OI 2286,dongles in room doesn't fit her macbook air (presuming mini-dp).,0,1
RW 143,how to get slides on the screen.,0,0
UC 261,"getting an image, but no audio.",0,1
SS 2125 ,no display on projector,0,0
MP 102,projector not turning on,0,1
BT 101,no sources are sending.,0,1
UC 163,needed to be enabled,0,0
BA 2185,can't use station,0,0
BA 2185,can't use laptop with station,0,0
BA 1190,how to adjust the mic volume.,0,0
MP 102,"couldn't ""control the pc"" despite the projectors being on.",0,1
SS 1087,enable,0,0
WO 35,already solved,0,0
SS 1088,"audio sending to room, but is choppy and cutting in and out",0,1
MY 317,podium screen black,0,1
SS 2120,"""trying to figure it out and good for now"".",0,0
MY 420,microphone in room is missing,0,1
BA 1210,resolved.,0,0
MY 420,he found the mic,0,0
GB 220,authorization failed at login.,0,0
MY 480,enable,0,0
GB 303,laptop not sending image to projector,0,1
SF 1105,self-resolved.,0,0
RW 143,couldn't connect to podium,0,0
BA 2179,can't get laptop hdmi image.,0,1
MY 317,checking in if tech is arrving,0,0
AH 107,resolved.,0,0
MY 350,no laptop hdmi preview/image.,0,1
MY 317,no laptop hdmi preview/image.,0,1
OI 2214,instructor has arrived and is ready for his assist. just gave us a courtesy heads-up,0,0
OI 2214,instructor again calling to ensure there's an assist happening,0,0
NL 6,"request for mouse, instructor has difficulty using keyboard touchpad",0,1
OI 2205,"""it was saying the internet wasn't working, but wait wait wait..... it's connected now""",0,0
UC 163,"""what do i do?""",0,0
WW 126,room pc internet isn't working. i've asked her to reboot the pc.,0,1
,"she said it didn't turn back on - i asked her to hit the power button again, and to buzz back in if the pc comes back on",0,0
MP 102,no display on projector,0,1
BA 2165,"""how do i raise the projector screen""",0,0
OI 8200,"dvd cable is ""broken"" - signal from dvd player cutting in and out",0,1
GB 304,"""it's a mis-click, sorry""",0,0
GB 304,"""can you log us in? our ta didn't show up and we don't want to waste the 2 hour tutorial""",0,0
BL 205,physical keyboard doesn't work to log in. phone call: (647) 717-9437,0,0
UC 140,self-resolved.,0,0
BT 101,can't turn on the projector.,0,0
BT 101,where is the technician?,0,0
SS 1086,wanted an ethernet - usb-c adapter,0,0
AB 107,"""system isn't working.""",0,0
UC 179,laptop not sending to projector/monitor,0,1
GB 244,send to projector doesn't turn on the projector.,1,0
VC 323,projector screen won't lower,0,0
SS 2105,pressed the power button didn't turn on the projector.,1,0
SF 3202,aa batteries.,0,1
BA 1130,wireless lav not working,0,0
BF 323,"""my projector is not displaying my image""",0,0
SS 581,mini-dp dongle.,0,1
OI 2205,reporting wi-fi was intermittent during the duration of the class that just finished.,0,0
HS 610,the image was sent to the top projector (there are two stacked on top of each other) and produced a truncated image.,1,0
SK 100,self-resolved.,0,0
OI 5250,blue screen w dots when in laptop input and nothing on hdmi,0,1
UC 57,josh testing headset mic with reme.,0,0
LM 157,nick testing mic,0,0
ES B149,nick testing mic,0,0
BA B024,looking for james.,0,1
BA B024,where is james?,0,0
TF 102,self-resolved,0,0
MY 317,too loud in their room to hear issue,0,1
WW 121,wants projector turned off.,0,1
BA 2195,couldn't access utor id,0,0
BA 2195,can't get laptop hdmi image.,0,1
BA 1200,weren't logged in and needed to use the projector,0,0
BA 2195,letting us know they fixed their problem,0,0
